Block,Column,Row,Name,ID,X,F635 Median - B635,F635 Mean - B635,Y,Index,Dia.,F635 Median,F635 Mean,F635 SD,B635 Median,B635 Mean,B635,B635 SD,F635 CV,B635 CV,% > B635+1SD,% > B635+2SD,F635 % Sat.,Ratio of Medians (635/#2),Ratio of Means (635/#2),Median of Ratios (635/#2),Mean of Ratios (635/#2),F635 Total Intensity,SNR 635,Ratios SD (635/#2),Rgn Ratio (635/#2),Rgn R2 (635/#2),F Pixels,B Pixels,Circularity,Flags,Normalize,Autoflag,Sum of Medians (635/#2),Sum of Means (635/#2),Log Ratio (635/#2)
1,1,1,,FIDUCIALS,3840,3267,4330,1490,1,150,3992,5055,3372,725,728,725,62,66,8,100,100,0,100000,100000,0,0,788534,69.79,0,0,0,156,1266,100,0,0,0,3267,4330,16.61
1,2,1,,PBST,4140,206,217,1480,2,100,930,941,99,724,727,724,58,10,7,96,86,0,100000,100000,0,0,75247,3.69,0,0,0,80,560,100,0,0,0,206,217,16.61
1,3,1,,PBST,4450,141,158,1480,3,100,877,894,82,736,740,736,56,9,7,93,75,0,100000,100000,0,0,71494,2.75,0,0,0,80,560,100,0,0,0,141,158,16.61
1,4,1,,PBST,4740,692,726,1470,4,150,1430,1464,243,738,743,738,66,16,8,100,100,0,100000,100000,0,0,228325,10.924,0,0,0,156,1257,100,0,0,0,692,726,16.61
1,5,1,,PBST,5040,154,164,1470,5,120,893,903,71,739,741,739,60,7,8,93,71,0,100000,100000,0,0,108348,2.7,0,0,0,120,820,100,0,0,0,154,164,16.61
1,6,1,,FIDUCIALS,5340,6909,6281,1470,6,150,7655,7027,3135,746,754,746,74,44,9,100,100,0,100000,100000,0,0,1096229,84.77,0,0,0,156,1258,100,0,0,0,6909,6281,16.61
1,7,1,,PBST,5630,130,132,1490,7,100,905,907,73,775,781,775,102,8,13,65,15,0,100000,100000,0,0,72578,1.235,0,0,0,80,560,100,0,0,0,130,132,16.61
1,8,1,,PBST,5940,170,168,1470,8,140,956,954,81,786,789,786,64,8,8,91,71,0,100000,100000,0,0,148867,2.578,0,0,0,156,1125,100,0,0,0,170,168,16.61
1,9,1,,PBST,6240,148,153,1480,9,90,953,958,73,805,807,805,65,7,8,92,61,0,100000,100000,0,0,49819,2.323,0,0,0,52,420,100,0,0,0,148,153,16.61
1,10,1,,FIDUCIALS,6550,8641,8994,1470,10,160,9431,9784,6260,790,798,790,78,63,9,100,100,0,100000,100000,0,0,2035073,115.205,0,0,0,208,1457,100,0,0,0,8641,8994,16.61
1,11,1,,PBST,6850,233,238,1460,11,130,1016,1021,104,783,784,783,63,10,8,97,85,0,100000,100000,0,0,122542,3.762,0,0,0,120,940,100,0,0,0,233,238,16.61
1,12,1,,PBST,7140,112,130,1460,12,120,913,931,97,801,803,801,64,10,7,73,38,0,100000,100000,0,0,111661,2,0,0,0,120,820,100,0,0,0,112,130,16.61
1,13,1,,FIDUCIALS,7440,7722,9001,1470,13,160,8532,9811,6950,810,811,810,69,70,8,100,100,0,100000,100000,0,0,2040768,130.435,0,0,0,208,1390,100,0,0,0,7722,9001,16.61
1,14,1,,PBST,7740,139,137,1480,14,100,955,953,67,816,818,816,63,7,7,82,56,0,100000,100000,0,0,76273,2.143,0,0,0,80,560,100,0,0,0,139,137,16.61
1,15,1,,PBST,8040,196,212,1490,15,100,1026,1042,110,830,837,830,66,10,7,90,78,0,100000,100000,0,0,83331,3.106,0,0,0,80,560,100,0,0,0,196,212,16.61
1,16,1,,PBST,8350,176,185,1470,16,100,1061,1070,108,885,888,885,79,10,8,85,60,0,100000,100000,0,0,85637,2.304,0,0,0,80,560,100,0,0,0,176,185,16.61
1,17,1,,PBST,8630,156,169,1450,17,110,1041,1054,113,885,894,885,95,10,10,76,37,0,100000,100000,0,0,84314,1.684,0,0,0,80,656,100,0,0,0,156,169,16.61
1,18,1,,FIDUCIALS,8950,11579,9964,1460,18,150,12439,10824,4442,860,869,860,88,41,10,100,100,0,100000,100000,0,0,1688487,113.125,0,0,0,156,1242,100,0,0,0,11579,9964,16.61
1,1,2,,PBST,3840,204,214,1770,19,100,938,948,81,734,739,734,60,8,8,98,88,0,100000,100000,0,0,75815,3.483,0,0,0,80,560,100,0,0,0,204,214,16.61
1,2,2,,IgG Mix 1,4150,41830,36617,1760,20,190,42596,37383,25212,766,788,766,116,67,14,100,100,30,100000,100000,0,0,9569963,315.474,0,0,0,256,1668,100,0,0,0,41830,36617,16.61
1,3,2,,IgG Mix 0.3,4450,16400,18356,1770,21,190,17174,19130,14824,774,792,774,107,77,13,100,100,0,100000,100000,0,0,4897356,171.383,0,0,0,256,1583,100,0,0,0,16400,18356,16.61
1,4,2,,PBST,4750,3255,3357,1770,22,170,4019,4121,1295,764,778,764,93,31,11,100,100,0,100000,100000,0,0,857225,35.946,0,0,0,208,1289,100,0,0,0,3255,3357,16.61
1,5,2,,Hu IgA 0.3,5050,16218,21301,1760,23,180,16985,22068,17925,767,777,767,82,81,10,100,100,0,100000,100000,0,0,5649360,259.646,0,0,0,256,1571,100,0,0,0,16218,21301,16.61
1,6,2,,Hu IgA 0.1,5360,9484,10823,1770,24,170,10262,11601,8015,778,788,778,81,69,10,100,100,0,100000,100000,0,0,2412937,133.494,0,0,0,208,1460,100,0,0,0,9484,10823,16.61
1,7,2,,PBST,5650,195,183,1770,25,100,967,955,77,772,776,772,65,8,8,92,76,0,100000,100000,0,0,76434,2.754,0,0,0,80,560,100,0,0,0,195,183,16.61
1,8,2,,Hu IgM 0.3,5950,29145,31793,1760,26,170,29946,32594,22287,801,826,801,137,68,16,100,100,3,100000,100000,0,0,6779541,231.883,0,0,0,208,1459,100,0,0,0,29145,31793,16.61
1,9,2,,Hu IgM 0.1,6250,19298,19260,1760,27,170,20107,20069,13022,809,826,809,122,64,14,100,100,0,100000,100000,0,0,4174303,157.73,0,0,0,208,1446,100,0,0,0,19298,19260,16.61
1,10,2,,PBST,6550,3789,3729,1770,28,170,4600,4540,1432,811,823,811,92,31,11,100,100,0,100000,100000,0,0,944346,40.402,0,0,0,208,1444,100,0,0,0,3789,3729,16.61
1,11,2,,PBST,6860,750,772,1770,29,150,1565,1587,202,815,830,815,94,12,11,100,100,0,100000,100000,0,0,247591,8.053,0,0,0,156,1154,100,0,0,0,750,772,16.61
1,12,2,,NoDNA,7160,6459,5838,1770,30,190,7279,6658,2016,820,838,820,102,30,12,100,100,0,100000,100000,0,0,1704549,57.059,0,0,0,256,1615,100,0,0,0,6459,5838,16.61
1,13,2,,NoDNA,7460,5301,5086,1770,31,220,6134,5919,3153,833,848,833,100,53,11,100,100,0,100000,100000,0,0,2320055,50.71,0,0,0,392,1781,100,0,0,0,5301,5086,16.61
